# Extinction sequence for 30 applications  and 30 platforms.
# This is the data and average for 5 different extinction sequences.
0	30	30	30	30	30	30.0	30
1	29	29	30	30	30	29.6	29
2	29	28	30	30	29	29.2	28
3	29	27	30	30	28	28.8	27
4	29	27	30	30	28	28.8	26
5	29	26	29	30	27	28.2	25
6	29	26	29	29	27	28.0	24
7	28	26	29	26	27	27.2	23
8	28	26	26	25	27	26.4	22
9	28	25	26	25	27	26.2	21
10	28	25	25	24	25	25.4	20
11	27	23	24	23	25	24.4	19
12	27	22	24	23	23	23.8	18
13	27	22	23	23	20	23.0	17
14	25	20	23	22	20	22.0	16
15	24	19	23	20	20	21.2	15
16	22	19	22	19	20	20.4	14
17	19	18	22	19	19	19.4	13
18	18	17	20	17	18	18.0	12
19	18	13	19	17	15	16.4	11
20	17	12	17	15	13	14.8	10
21	15	11	14	13	11	12.8	9
22	12	10	12	12	10	11.2	8
23	9	8	11	10	9	9.4	7
24	9	6	10	9	7	8.2	6
25	8	5	7	9	6	7.0	5
26	6	4	6	5	4	5.0	4
27	4	3	4	4	3	3.6	3
28	2	2	3	3	2	2.4	2
29	1	1	1	2	1	1.2	1
30	0	0	0	0	0	0.0	0

