#srv_dead	#srv	%fail	#fail	#requests
0	247	0.0	0	721000
1	247	0.22413314840499307	1616	721000
2	247	0.4581137309292649	3303	721000
3	247	0.6894590846047157	4971	721000
4	247	0.9273231622746186	6686	721000
5	247	1.1893203883495145	8575	721000
6	247	1.4208044382801663	10244	721000
7	247	1.617753120665742	11664	721000
8	247	1.9016643550624133	13711	721000
9	247	2.1284327323162273	15346	721000
10	247	2.3832177531206655	17183	721000
11	247	2.597642163661581	18729	721000
12	247	2.7957004160887657	20157	721000
13	247	3.0882108183079056	22266	721000
14	247	3.318446601941748	23926	721000
15	247	3.5893203883495146	25879	721000
16	247	3.838418862690707	27675	721000
17	247	4.021497919556172	28995	721000
18	247	4.32746185852982	31201	721000
19	247	4.536893203883495	32711	721000
20	247	4.7552011095700415	34285	721000
21	247	5.087239944521498	36679	721000
22	247	5.357697642163662	38629	721000
23	247	5.592371705963939	40321	721000
24	247	5.891955617198335	42481	721000
61	247	15.992649098474342	115307	721000
123	247	37.034674063800274	267020	721000

