#srv_dead	#srv	%fail	#fail	#requests
0	247	0.0	0	721000
1	247	0.1753120665742025	1264	721000
2	247	0.31983356449375866	2306	721000
3	247	0.5094313453536754	3673	721000
4	247	0.6904299583911234	4978	721000
5	247	0.8492371705963939	6123	721000
6	247	1.0668515950069348	7692	721000
7	247	1.1754507628294035	8475	721000
8	247	1.40124826629681	10103	721000
9	247	1.5416088765603329	11115	721000
10	247	1.701386962552011	12267	721000
11	247	1.9314840499306518	13926	721000
12	247	2.1144244105409156	15245	721000
13	247	2.3019417475728154	16597	721000
14	247	2.462413314840499	17754	721000
15	247	2.7031900138696257	19490	721000
16	247	2.865603328710125	20661	721000
17	247	2.9923717059639388	21575	721000
18	247	3.187656033287101	22983	721000
19	247	3.296393897364771	23767	721000
20	247	3.6149791955617196	26064	721000
21	247	3.831622746185853	27626	721000
22	247	3.9930651872399445	28790	721000
23	247	4.222052704576976	30441	721000
24	247	4.389875173370319	31651	721000
61	247	12.372122052704578	89203	721000
123	247	30.940221914008323	223079	721000

