#srv_dead	#srv	%fail	#fail	#requests
0	247	0.0	0	721000
1	247	0.09486823855755895	684	721000
2	247	0.1940360610263523	1399	721000
3	247	0.26269070735090155	1894	721000
4	247	0.3800277392510402	2740	721000
5	247	0.4693481276005548	3384	721000
6	247	0.5450762829403606	3930	721000
7	247	0.6356449375866852	4583	721000
8	247	0.7334257975034674	5288	721000
9	247	0.8361997226074896	6029	721000
10	247	0.9575589459084605	6904	721000
11	247	1.0381414701803051	7485	721000
12	247	1.1079056865464632	7988	721000
13	247	1.2334257975034675	8893	721000
14	247	1.3539528432732317	9762	721000
15	247	1.424133148404993	10268	721000
16	247	1.5590846047156728	11241	721000
17	247	1.6753120665742025	12079	721000
18	247	1.7715672676837726	12773	721000
19	247	1.893619972260749	13653	721000
20	247	2.0346740638002774	14670	721000
21	247	2.1145631067961164	15246	721000
22	247	2.242579750346741	16169	721000
23	247	2.3550624133148403	16980	721000
24	247	2.498613037447989	18015	721000
61	247	7.608460471567268	54857	721000
123	247	21.662135922330098	156184	721000

