#srv_dead	#srv	%fail	#fail	#requests
1	1988	0.013328697264719518	1150	8628000
2	1988	0.027375985164580435	2362	8628000
3	1988	0.04107556791840519	3544	8628000
4	1988	0.05369726471951785	4633	8628000
5	1988	0.06678256838201205	5762	8628000
6	1988	0.08295085767269356	7157	8628000
7	1988	0.09442512749188688	8147	8628000
8	1988	0.10890125173852573	9396	8628000
9	1988	0.11914696337505795	10280	8628000
10	1988	0.1339823829392675	11560	8628000
11	1988	0.14794853963838664	12765	8628000
12	1988	0.16568150208623086	14295	8628000
13	1988	0.1782568382012054	15380	8628000
14	1988	0.19567686601761705	16883	8628000
15	1988	0.2048794622160408	17677	8628000
16	1988	0.22160407974038016	19120	8628000
17	1988	0.23026193787668056	19867	8628000
18	1988	0.24687065368567454	21300	8628000
19	1988	0.2621233194251275	22616	8628000
20	1988	0.27714418173388966	23912	8628000
21	1988	0.2956073249884098	25505	8628000
22	1988	0.29885257301808066	25785	8628000
23	1988	0.30764951321279554	26544	8628000
24	1988	0.3300301344459898	28475	8628000
25	1988	0.34013676402410753	29347	8628000
26	1988	0.35681502086230876	30786	8628000
27	1988	0.3707811775614279	31991	8628000
28	1988	0.3843069077422346	33158	8628000
29	1988	0.39516689847009734	34095	8628000
30	1988	0.41193787668057485	35542	8628000
31	1988	0.42312239221140474	36507	8628000
32	1988	0.44022948539638385	37983	8628000
33	1988	0.45455493741307373	39219	8628000
34	1988	0.46892675011590174	40459	8628000
35	1988	0.48375057950857675	41738	8628000
36	1988	0.5059457579972183	43653	8628000
37	1988	0.5092605470560965	43939	8628000
38	1988	0.522311080203987	45065	8628000
39	1988	0.5292420027816411	45663	8628000
40	1988	0.543544274455262	46897	8628000
41	1988	0.5658321743161798	48820	8628000
42	1988	0.5818729717199814	50204	8628000
43	1988	0.5994320815948077	51719	8628000
44	1988	0.6137807139545666	52957	8628000
45	1988	0.626332869726472	54040	8628000
46	1988	0.6372508113120074	54982	8628000
47	1988	0.6472299490032453	55843	8628000
48	1988	0.6686833565136764	57694	8628000
49	1988	0.6796940194714882	58644	8628000
50	1988	0.6897774687065369	59514	8628000
51	1988	0.7045317570700046	60787	8628000
52	1988	0.7220329160871581	62297	8628000
53	1988	0.7350950394065833	63424	8628000
54	1988	0.7528627723690311	64957	8628000
55	1988	0.7667825683820121	66158	8628000
56	1988	0.7816759388038943	67443	8628000
57	1988	0.7925475197032916	68381	8628000
58	1988	0.8126101066295781	70112	8628000
59	1988	0.815855354659249	70392	8628000
60	1988	0.8432313398238294	72754	8628000
61	1988	0.8525034770514603	73554	8628000
62	1988	0.8639313861845155	74540	8628000
63	1988	0.8766921650440427	75641	8628000
64	1988	0.9008924432081595	77729	8628000
65	1988	0.9119726471951785	78685	8628000
66	1988	0.9223806212331942	79583	8628000
67	1988	0.9448307834955957	81520	8628000
68	1988	0.9444251274918869	81485	8628000
69	1988	0.9740148354195642	84038	8628000
70	1988	0.978117756142791	84392	8628000
71	1988	0.9987134909596662	86169	8628000
72	1988	1.0108484005563283	87216	8628000
73	1988	1.0302155771905424	88887	8628000
74	1988	1.039522484932777	89690	8628000
75	1988	1.0578697264719519	91273	8628000
76	1988	1.0746291145108948	92719	8628000
77	1988	1.0914348632359758	94169	8628000
78	1988	1.1017732962447844	95061	8628000
79	1988	1.108993973110802	95684	8628000
80	1988	1.1258808530366249	97141	8628000
81	1988	1.1472183588317106	98982	8628000
82	1988	1.151680574872508	99367	8628000
83	1988	1.1798446917014371	101797	8628000
84	1988	1.1871001390820584	102423	8628000
85	1988	1.2019819193324062	103707	8628000
86	1988	1.2224269819193323	105471	8628000
87	1988	1.2330319888734353	106386	8628000
88	1988	1.248064441353732	107683	8628000
89	1988	1.2577538247566065	108519	8628000
90	1988	1.2781757070004636	110281	8628000
91	1988	1.2903106165971256	111328	8628000
92	1988	1.2987366713027353	112055	8628000
93	1988	1.3123783031988874	113232	8628000
94	1988	1.333820120537784	115082	8628000
95	1988	1.3503592953175707	116509	8628000
96	1988	1.3563630041724617	117027	8628000
97	1988	1.3686833565136765	118090	8628000
98	1988	1.3999420491423273	120787	8628000
99	1988	1.4190426518312471	122435	8628000
100	1988	1.4161682892906815	122187	8628000
101	1988	1.429543347241539	123341	8628000
102	1988	1.45137923041261	125225	8628000
103	1988	1.472960129809921	127087	8628000
104	1988	1.488769123783032	128451	8628000
105	1988	1.5144877144181734	130670	8628000
106	1988	1.513363467779323	130573	8628000
107	1988	1.5330203987019009	132269	8628000
108	1988	1.5414116828929068	132993	8628000
109	1988	1.5573249884098284	134366	8628000
110	1988	1.5764951321279554	136020	8628000
111	1988	1.5871001390820585	136935	8628000
112	1988	1.6016458043579045	138190	8628000
113	1988	1.6137343532684283	139233	8628000
114	1988	1.6436949466852109	141818	8628000
115	1988	1.640426518312471	141536	8628000
116	1988	1.6695410292072324	144048	8628000
117	1988	1.67022484932777	144107	8628000
118	1988	1.699976819656931	146674	8628000
119	1988	1.7098052851182197	147522	8628000
120	1988	1.715171534538711	147985	8628000
121	1988	1.7488062123319426	150887	8628000
122	1988	1.739673157162726	150099	8628000
123	1988	1.7584376448771442	151718	8628000
124	1988	1.7862424663885026	154117	8628000
125	1988	1.7870769587389894	154189	8628000
126	1988	1.8246291145108948	157429	8628000
127	1988	1.8257881316643487	157529	8628000
128	1988	1.8249652294853964	157458	8628000
