#srv_dead	#srv	%fail	#fail	#requests
1	50	1.5819548872180451	4208	266000
2	50	2.9338345864661655	7804	266000
3	50	4.601127819548872	12239	266000
4	50	6.302255639097744	16764	266000
5	50	7.618796992481203	20266	266000
6	50	9.383834586466165	24961	266000
7	50	11.3703007518797	30245	266000
8	50	12.823308270676693	34110	266000
9	50	14.241353383458646	37882	266000
10	50	15.808270676691729	42050	266000
11	50	17.64887218045113	46946	266000
12	50	19.13157894736842	50890	266000
16	50	26.794736842105262	71274	266000
25	50	44.14436090225564	117424	266000

