#srv_dead	#srv	%fail	#fail	#requests
0	841	0.0	0	2503000
5	841	0.24067119456652017	6024	2503000
10	841	0.4773471833799441	11948	2503000
15	841	0.7145425489412705	17885	2503000
20	841	0.9495805033959249	23768	2503000
25	841	1.1952457051538155	29917	2503000
30	841	1.4552137435077908	36424	2503000
35	841	1.7058330003995206	42697	2503000
40	841	1.9608869356771874	49081	2503000
45	841	2.241949660407511	56116	2503000
50	841	2.4647622852576907	61693	2503000
55	841	2.733320015980823	68415	2503000
60	841	2.9974430683180184	75026	2503000
65	841	3.259089093088294	81575	2503000
70	841	3.477427087495006	87040	2503000
75	841	3.7668797443068316	94285	2503000
80	841	4.018417898521774	100581	2503000
210	841	12.00703156212545	300536	2503000
420	841	29.91330403515781	748730	2503000

