#srv_dead	#srv	%fail	#fail	#requests
0	496	0.0	0	1891000
1	496	0.0985193019566367	1863	1891000
2	496	0.18159703860391327	3434	1891000
3	496	0.2813855103120042	5321	1891000
4	496	0.3835536753040719	7253	1891000
5	496	0.4556848228450555	8617	1891000
6	496	0.5361184558434691	10138	1891000
7	496	0.6487572712850344	12268	1891000
8	496	0.7497620306716023	14178	1891000
9	496	0.8491274457958752	16057	1891000
10	496	0.9464833421470121	17898	1891000
11	496	1.0341618191433104	19556	1891000
12	496	1.1187731359069275	21156	1891000
13	496	1.2423056583818086	23492	1891000
14	496	1.324537281861449	25047	1891000
15	496	1.397567424643046	26428	1891000
16	496	1.5130089899524062	28611	1891000
17	496	1.6239026969857218	30708	1891000
18	496	1.7270227392913802	32658	1891000
19	496	1.8203595980962455	34423	1891000
20	496	1.8736647276573242	35431	1891000
21	496	1.9568482284505553	37004	1891000
22	496	2.0962453728186143	39640	1891000
23	496	2.207297726070862	41740	1891000
24	496	2.2917503966155475	43337	1891000
25	496	2.3696985721840296	44811	1891000
26	496	2.4790058170280274	46878	1891000
27	496	2.579111581173982	48771	1891000
28	496	2.684981491274458	50773	1891000
29	496	2.785827604442094	52680	1891000
30	496	2.8613960867265997	54109	1891000
31	496	3.0238498149127446	57181	1891000
32	496	3.0335801163405605	57365	1891000
33	496	3.1859333685880484	60246	1891000
34	496	3.3873611845584346	64055	1891000
35	496	3.3609201480698045	63555	1891000
36	496	3.4727128503437337	65669	1891000
37	496	3.5785298783712323	67670	1891000
38	496	3.6915388683236383	69807	1891000
39	496	3.7852987837123213	71580	1891000
40	496	3.906028556319408	73863	1891000
41	496	4.036911686938128	76338	1891000
42	496	4.140243257535696	78292	1891000
43	496	4.209571655208884	79603	1891000
44	496	4.347699629825489	82215	1891000
45	496	4.426599682707562	83707	1891000
46	496	4.514595452141724	85371	1891000
47	496	4.680856689582232	88515	1891000
48	496	4.637334743521946	87692	1891000
49	496	4.835272342675833	91435	1891000
124	496	13.500423056583818	255293	1891000
248	496	32.6802221047065	617983	1891000

