#srv_dead	#srv	%fail	#fail	#requests
0	838	0.0	0	2501000
5	838	0.32754898040783686	8192	2501000
10	838	0.6404638144742103	16018	2501000
15	838	0.9768892443022791	24432	2501000
20	838	1.2951619352259096	32392	2501000
25	838	1.6164334266293483	40427	2501000
30	838	1.950499800079968	48782	2501000
35	838	2.30171931227509	57566	2501000
40	838	2.6413034786085565	66059	2501000
45	838	3.001799280287885	75075	2501000
50	838	3.313314674130348	82866	2501000
55	838	3.67796881247501	91986	2501000
60	838	4.02375049980008	100634	2501000
65	838	4.3852059176329465	109674	2501000
70	838	4.732706917233107	118365	2501000
75	838	5.0830067972810875	127126	2501000
80	838	5.464254298280688	136661	2501000
209	838	15.482726909236305	387223	2501000
419	838	36.18556577369053	905001	2501000

