#srv_dead	#srv	%fail	#fail	#requests
0	843	0.0	0	2574000
5	843	0.14207459207459208	3657	2574000
10	843	0.27843822843822846	7167	2574000
15	843	0.42195027195027196	10861	2574000
20	843	0.5678710178710179	14617	2574000
25	843	0.7094405594405594	18261	2574000
30	843	0.8630536130536131	22215	2574000
35	843	1.0347319347319348	26634	2574000
40	843	1.1565268065268066	29769	2574000
45	843	1.3326340326340327	34302	2574000
50	843	1.4950660450660451	38483	2574000
55	843	1.6494560994560994	42457	2574000
60	843	1.8217560217560218	46892	2574000
65	843	1.981041181041181	50992	2574000
70	843	2.1231934731934734	54651	2574000
75	843	2.3254856254856255	59858	2574000
80	843	2.479020979020979	63810	2574000
210	843	7.845726495726495	201949	2574000
421	843	21.547746697746696	554639	2574000

